,radiusOfRing_Ring,radiusOfRing_section,radiusOfRing_bar,mass,restitution,lateralFriction,spinningFriction,rollingFriction,position,velocity,angularVelocity,time
0,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[  0.   -0.4 100. ],[ 79.61 -14.77 -48.7 ],[0. 0. 0.],0.0
1,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 5.000e-02 -4.200e-01  9.996e+01],[ 12.42  -3.98 -10.73],[-5.010e+00 -1.000e-02  3.065e+01],0.004166666666666667
2,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.1  -0.43 99.93],[10.81 -1.72 -9.03],[-6.000e-02 -1.000e-02  2.646e+01],0.008333333333333333
3,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.14 -0.43 99.9 ],[ 9.77 -0.57 -7.96],[ 4.800e-01 -1.000e-02  2.036e+01],0.0125
4,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.17 -0.43 99.87],[ 8.89  0.36 -7.43],[ 0.75 -0.   20.1 ],0.016666666666666666
5,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.21 -0.43 99.84],[ 8.25  0.87 -6.85],[ 1.61  0.   16.44],0.020833333333333332
6,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.24 -0.42 99.82],[ 7.7   1.14 -6.14],[ 0.58 -0.   13.86],0.025
7,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.27 -0.42 99.79],[ 7.21  1.43 -5.91],[ 0.1  -0.   16.49],0.029166666666666667
8,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.3  -0.41 99.77],[ 6.8   1.68 -5.62],[2.160e+00 1.000e-02 1.516e+01],0.03333333333333333
9,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.33 -0.4  99.75],[ 6.44  1.86 -5.46],[1.680e+00 1.000e-02 1.437e+01],0.0375
10,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.35 -0.39 99.72],[ 6.17  1.96 -5.37],[1.410e+00 1.000e-02 1.421e+01],0.041666666666666664
11,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.38 -0.38 99.7 ],[ 5.95  2.02 -5.34],[1.390e+00 1.000e-02 1.412e+01],0.04583333333333333
12,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.4  -0.38 99.68],[ 5.79  2.09 -5.36],[1.390e+00 1.000e-02 1.421e+01],0.05
13,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.42 -0.37 99.66],[ 5.65  2.16 -5.42],[1.460e+00 1.000e-02 1.435e+01],0.05416666666666667
14,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.45 -0.36 99.63],[ 5.34  2.32 -5.41],[ 3.52  0.03 13.69],0.058333333333333334
15,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.47 -0.34 99.61],[ 4.72  2.77 -5.19],[ 2.43  0.02 11.72],0.0625
16,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.48 -0.33 99.59],[ 4.03  3.24 -4.82],[3.31 0.03 9.56],0.06666666666666667
17,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.5  -0.32 99.57],[ 3.33  3.65 -4.44],[3.48 0.03 8.1 ],0.07083333333333333
18,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.51 -0.3  99.56],[ 2.62  3.98 -4.09],[3.21 0.03 7.38],0.075
19,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.52 -0.28 99.54],[ 1.99  4.22 -3.84],[2.89 0.03 7.38],0.07916666666666666
20,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.52 -0.26 99.53],[ 1.32  4.43 -3.55],[2.63 0.02 7.38],0.08333333333333333
21,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.52 -0.24 99.51],[ 0.71  4.6  -3.29],[2.08 0.02 7.17],0.0875
22,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.53 -0.22 99.5 ],[ 0.19  4.67 -3.05],[2.07 0.02 7.78],0.09166666666666666
23,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.52 -0.21 99.49],[-0.24  4.69 -2.86],[1.28 0.01 7.85],0.09583333333333333
